date,title,content,url
,お天道様は“外”ではなく、私たちの中に在る,"私たちの暮らしの中で、
ときに忘れがちなものがあります。
それは、
目に見えないものを敬う気持ち
です。
便利さやスピード、目に見える成果が重視される今の時代。
けれど、本当に大切なものは、目には映らないけれど、
心には確かに感じられるものの中にあります。
信仰心とは、何かを信じる力
「信仰」というと、宗教的なイメージを持たれるかもしれません。
けれどここで言う信仰心とは、
“見えないけれど、確かにそこにあるもの”を信じる心
。
それは、神様かもしれないし、
自然の摂理、魂、宇宙の法則、あるいは“愛そのもの”。
目に見えないものへの敬意は、
道徳心を育み、他者への思いやり、謙虚さ、感謝、慈しみの心へとつながっていきます。
「お天道様は見ているよ」
この言葉、一度は言われたことがある人も多いのではないでしょうか。
昔の人たちは、悪いことをした子どもにこう言って、
目には見えなくても“見守られている存在”があること
を伝えてきました。
お天道様は、空に輝く太陽のようであり、
同時に私たち一人ひとりの心の中に宿る光でもあります。
宇宙には、目には見えなくても確かに存在する法則があります。
それが「因果の法則（カルマの法則）」です。
悪意ある行いは、やがて自分に返ってくる。
一方で、優しさや善意の行いも、時を経てめぐりめぐって、自分を満たしてくれる。
まるで愛が波紋のように広がって、
巡り巡ってまた自分の元へと返ってくるように——
お天道様は、晴れた日だけ空にいるわけではありません。
曇りの日も、雨の日も、
夜の闇の中でさえも——
お天道様の「目」は、私たちの内側に宿っていて、
いつでも私たちを見守ってくれています。
それは、「愛」と「真理」のまなざし。
誰にも見られていないからといって、
ズルをしたり、誰かを傷つけたり、無視したり。
そんな時、自分の中のお天道様がそっと問いかけてきます。
「本当に、あなたの魂が望むことですか？」
お天道様が見ているということは、
「自分自身の内なる良心」がいつも共にあるということ。
だからこそ、愛と調和に則った生き方をしていれば、
きっとその選択は見守られ、応援され、育まれていきます
目に見えないものを信じて生きるということ
私たちは自然から教わり、
祖先を敬い、
目に見えない存在に感謝しながら生きてきました。
それは単なる“しきたり”ではなく、
魂と魂をつなぐ、深い信頼の循環
。
目に見える世界に疲れたときは、
ふと空を見上げてみてください。
そこに光がなくても、
お天道様は、あなたの中に、今も確かに在ります。
9月分のカウンセリングご予約を受付中
予約枠カレンダーはこちら
カウンセリングお申込みはこちら
小林由起子（スピリチュアルハーモニー）公式サイト
霊視カウンセリングの小林由起子｜スピリチュアルカウンセリングや霊視相談
鑑定歴２５年の信頼と２万人の実績！霊視鑑定を得意とする小林由起子が霊能力によるスピリチュアルカウンセリングを行います。落着いたサロンでの鑑定とオンライン鑑定とお選びいただけます。各種講座も定期的に開催
harmony-mc.com",https://ameblo.jp/kobayashi-yukiko/entry-12916017843.html
,人生はひとつの旅。魂が選ぶルートで、自分らしい物語を描いていく,"私たちはこの世界に生まれる前、
「どんな人生を歩みたいか」
を魂レベルで決めてきていると言われています
でもそれは、すべてが決められている“運命”ではありません。
人生には、変えられない設定（宿命）と、自分の選択で変えていける道（自由意志）があります。
宿命とは、魂が学びの舞台として選んだもの
たとえば、生まれた国や家族、性別など。
それは、今世で自分の魂が成長するために
“あえて”
選んできた設定
のようなもの。
変えることは難しいけれど、そこに込められた意味や目的は、深い学びにつながっています。
運命は、自分の手でいくらでも変えられるものです。
人生は一本道ではなく、
無数に枝分かれしたルートが存在しています。
どのルートを選ぶか。
どの景色を見るか。
誰と出会い、何を感じるか。
それらはすべて、あなたの自由意志によって形づくられていくのです。
たとえば、「東京から京都に行く」と決めたとします。
高速道路でスムーズに進むルートもあれば、
寄り道をしながら自然を楽しむルートもある。
途中で渋滞に巻き込まれたり、
間違った道に入ってしまうこともあるかもしれません。
でもそのすべてが、あなたにしか歩めない旅のかけがえのない一部。
迷っても、引き返しても大丈夫
もしも今、あなたが
「この道で合ってるのかな」と感じていたとしても、
それは次の選択へのサインかもしれません。
行き止まりに見えても、
人生には“戻る”という選択も、“別ルートを試す”という選択も、
いつでも許されています。
たとえ生まれる前に“テーマ”を決めてきたとしても、
その進み方はあなた自身が選べるのです。
誰かに決められる人生ではなく、
あなた自身が選び、感じ、歩いていく旅。
うまくいかない日もあるかもしれません。
涙が出るほど苦しい時期もあるかもしれません。
でもその経験さえも、
あなたの魂が「もっと大きく輝くために」選んだルートの一部。
遠回りしてもいい。
立ち止まってもいい。
何度でもルートを変えていい。
大切なのは、「どう生きたいか」というあなたの意志。
魂はいつだって、あなたの選択を尊重してくれています。
だからこそ、今この瞬間からまた新しい旅を選び直すことができるのです。
9月分のカウンセリングご予約を受付中
予約枠カレンダーはこちら
カウンセリングお申込みはこちら
小林由起子（スピリチュアルハーモニー）公式サイト
霊視カウンセリングの小林由起子｜スピリチュアルカウンセリングや霊視相談
鑑定歴２５年の信頼と２万人の実績！霊視鑑定を得意とする小林由起子が霊能力によるスピリチュアルカウンセリングを行います。落着いたサロンでの鑑定とオンライン鑑定とお選びいただけます。各種講座も定期的に開催
harmony-mc.com",https://ameblo.jp/kobayashi-yukiko/entry-12914765836.html
,本日よりカウンセリング9月枠のご予約開始しました,"本日より、カウンセリング9月枠の受付を開始いたしました！
いよいよ夏本番に近づいてきましたね。
６月より鎌倉市由比ヶ浜に「
鎌倉カウンセリングサロン
」をオープンしています。
江ノ電・由比ヶ浜駅から徒歩2分の便利な立地で、閑静な住宅街の一角にあります。
「由比ヶ浜駅」は、鎌倉の穏やかな風と自然に包まれた場所に位置します。
すぐ近くには由比ヶ浜の浜辺がありますので、カウンセリングの前後に
海風を感じながらリラックスしてお散歩してみてはいかがでしょう
鎌倉サロンは毎週金曜日となります！
引き続き、東京「聖蹟桜ヶ丘サロン」でもお待ちしています！
本日7月1日より9月分のカウンセリングご予約を受付開始しました
予約枠カレンダーはこちら
カウンセリングお申込みはこちら
小林由起子（スピリチュアルハーモニー）公式サイト
霊視カウンセリングの小林由起子｜スピリチュアルカウンセリングや霊視相談
鑑定歴２５年の信頼と２万人の実績！霊視鑑定を得意とする小林由起子が霊能力によるスピリチュアルカウンセリングを行います。落着いたサロンでの鑑定とオンライン鑑定とお選びいただけます。各種講座も定期的に開催
harmony-mc.com",https://ameblo.jp/kobayashi-yukiko/entry-12913767468.html
,プチワーク：あなたが“本当に欲しいもの”は何ですか？,"ふとした瞬間に浮かぶ、
「こんなふうになりたい」
「これが欲しい」
あなたにも、そんな願いや目標があるのではないでしょうか？
たとえば──
「お金持ちになりたい」
「素敵なパートナーと出会いたい」
「海外で暮らしてみたい」
「注目される仕事がしたい」
今回は、
「願いのその先」を見つめる小さなワーク
をご用意しました。
深呼吸をしながら、ゆっくり読み進めてみてくださいね
Step 1：願いを書き出してみよう
今、あなたが心の中で思っている「こうなりたい」「これが欲しい」を、紙やメモに書き出してみましょう。
たとえば、
自由な暮らしがしたい
素敵な恋愛がしたい
もっとお金に余裕をもちたい
有名人になりたいなぁ。
Step 2：その願いが叶ったら、どんな気持ちになる？
書き出した願いのひとつを選び、
それが叶った未来の自分
を思い描いてみてください。
深呼吸しながら、ゆったりとイメージしてみてください
たとえば、「海外で暮らしたい」という願いが叶ったとしたら…？
✅どんな景色が見えますか？
✅どんな人と一緒にいますか？
✅毎日はどんな気持ちで過ごしているでしょう？
Step 3：その1年後、2年後…の自分を想像してみよう
願いが叶ってしばらく経ちました。
あなたは、どんな毎日を送っているでしょうか？
1年後、2年後…少しずつ時間を進めてみてください
例えば、先ほどの、海外で暮らし、素敵な街並みに住み、
日々充実しています。
願望が叶った１年後・・・
そこで、素敵なパートナーと巡り会い、
美しい山や海、に二人で出かける
相手のために料理を作り
微笑ましく一緒に暮らす・・
そして2年後・・・3年後・・・・。
相手からプロポーズされ、喜んで受けている、
様々な思いが巡るでしょう
自分が欲しいものを手に入れた後の未来を、イメージしてみて下さい
さて、少しだけ立ち止まって、振り返ってみましょう。
叶えたいと願っていたのは「お金」「恋人」「地位」など
形あるもの
でしたよね。
でも、その
奥にあった本当の願い
は、
「安心したい」「愛されたい」「満たされたい」といった
心の状態
ではなかったでしょうか？
あなたが本当に望んでいたのは、「モノ」ではなく
そのモノを通して得られる“心の感覚”
なのかもしれません。
それに気づけた今、
あなたの“本当の願い”は、すでに心の中に息づいています
気づいたこと・感じたことがあれば、ぜひノートに書き留めてみてください。
この小さなワークが、あなたの心にやさしい灯りをともしますように
８月分のカウンセリングご予約を受付中
予約枠カレンダーはこちら
カウンセリングお申込みはこちら
６月より鎌倉市由比ヶ浜に「
鎌倉カウンセリングサロン
」をオープンしています。
江ノ電・由比ヶ浜駅から徒歩1分の便利な立地で、閑静な住宅街の一角にあります。
「由比ヶ浜駅」は、鎌倉の穏やかな風と自然に包まれた場所に位置します。
すぐ近くには由比ヶ浜の浜辺がありますので、カウンセリングの前後に
海風を感じながらリラックスしてお散歩してみてはいかがでしょう
鎌倉サロンは毎週金曜日となります！
小林由起子（スピリチュアルハーモニー）公式サイト
霊視カウンセリングの小林由起子｜スピリチュアルカウンセリングや霊視相談
鑑定歴２５年の信頼と２万人の実績！霊視鑑定を得意とする小林由起子が霊能力によるスピリチュアルカウンセリングを行います。落着いたサロンでの鑑定とオンライン鑑定とお選びいただけます。各種講座も定期的に開催
harmony-mc.com",https://ameblo.jp/kobayashi-yukiko/entry-12912702819.html
,人の心は、心理学の尺度だけでは計れない。,"「私って、どんな性格なんだろう？」
ふとそんなことを考えるとき、ネットで性格診断をしてみたり、心理学の本を読んでみたり…。
でも、出てくる答えがいまいちしっくりこなかった経験、ありませんか
私自身、ポジティブともネガティブとも言いきれないし、
人が好きなわけでも、嫌いなわけでもない。
強い感情に揺さぶられることも少なくて、
自分でも「なんだか中立的だな」と感じることが多いのです。
それって、もしかすると——
これまで人生の中で、いろんな“極端”を経験してきたからこそ、
今はできるだけバランスを保とうとしているのかもしれません。
たとえば…
無理に怒らない。
→ 怒ったって、自分がしんどくなるだけだから。
無理に関わらない。
→ 本当に信頼できる人とは、関わり方の濃さじゃなくて「質」でつながれると知っているから。
期待をしない。
→ 期待しすぎると、裏切られたときのダメージが大きくなるから。
距離を保つ。
→ 人は人。私は私。それでいいと思える自分の軸があるから。
頼みごとをしない。
→ 自分で動いた方がスムーズだし、気を使わせたくない。
自分の話をあまりしない。
→ 言葉って、どこでどう広がるかわからない。だから、本当に信頼できる人にだけ話せばいい。
心理学で言えば、「自己開示が少ない」「他者依存性が低い」「対人距離が遠い」などと、何かしらのラベルを貼られるかもしれません
でも、私は思うんです。
人の心って、心理学の尺度だけでは計れない。
誰かと比べて「普通じゃないかも」と感じることがあっても、
自分がそれで生きやすいなら、それでいい。
無理をして、人に合わせて、自分を否定するような生き方をするくらいなら、
「私はこれでいい」と思える感覚を、大切にしていたい
「私が苦しくなければOK。」
「私がそれで心地よければOK。」
「そして人に迷惑をかけていなければOK。」
もしあなたも、自分の心のあり方に「これでいいのかな？」と不安になったことがあったら、
ぜひ思い出してみてください。
「自分が苦しくなければ、それでいい。」
「人と違っていても、自分にとって心地よいなら、それでいい。」
心のカタチは、人それぞれ
だからこそ、自分の感覚を大切にしてあげてくださいね
８月分のカウンセリングご予約を受付中
予約枠カレンダーはこちら
カウンセリングお申込みはこちら
６月より鎌倉市由比ヶ浜に「
鎌倉カウンセリングサロン
」をオープンしています。
江ノ電・由比ヶ浜駅から徒歩1分の便利な立地で、閑静な住宅街の一角にあります。
「由比ヶ浜駅」は、鎌倉の穏やかな風と自然に包まれた場所に位置します。
すぐ近くには由比ヶ浜の浜辺がありますので、カウンセリングの前後に
海風を感じながらリラックスしてお散歩してみてはいかがでしょう
鎌倉サロンは毎週金曜日となります！
小林由起子（スピリチュアルハーモニー）公式サイト
霊視カウンセリングの小林由起子｜スピリチュアルカウンセリングや霊視相談
鑑定歴２５年の信頼と２万人の実績！霊視鑑定を得意とする小林由起子が霊能力によるスピリチュアルカウンセリングを行います。落着いたサロンでの鑑定とオンライン鑑定とお選びいただけます。各種講座も定期的に開催
harmony-mc.com",https://ameblo.jp/kobayashi-yukiko/entry-12911571722.html
,五感を開いて霊的能力を開花させる,"霊的な能力を開花させたいと願う人は多くおられます
それは特別な能力や使命がある人しか、叶えられないのでしょうか？
じつは、霊的な能力――
いわゆる“第六感”を開くためには、特別な才能よりも大切なことがあります。
それは、
人としての在り方を整えること
心の中に、愛や思いやりを育てていくこと
そういった“生きる力”や“あたたかな心”が、霊的な力を安全に引き出してくれるんです。
そしてそのために欠かせないのが、
「五感」を開くことです
。
視覚・聴覚・嗅覚・味覚・触覚――
この五感は、わたしたちが日常の中で無意識に使っているものですね
実はこの五感が目覚めていくと、その奥にある“第六感”が自然と開かれていくのです
私のワークショップでも、自然の中で「五感を使って六感で感じる」体験を取り入れています。
たとえば、森の中で目を閉じて風の音に耳を傾けたり、草の匂いを吸い込んでみたり、葉の手触りを感じたり…。
何気ない体験のようですが、そこには大きな気づきがあります。
自然の中でリラックスすることで、日常生活では感じ取れなかった微細なエネルギーや、見えない存在の気配を感知しやすくなるのです
霊的な能力は、特別な人だけに備わっているものではありません。
誰の中にもその芽はあり、日々の生活の中で心を整え、五感を大切にすることで、静かにその力は目覚めていきます。
そしてそれは、自分をより深く知り、人とあたたかくつながり、人生をより豊かにしてくれる贈り物となるでしょう
まずは、今日という一日を、五感を意識して過ごしてみてください。
風の匂い、鳥の声、肌に触れる光…そのすべてが、あなたの霊的な目覚めへの扉になっているかもしれません
８月分のカウンセリングご予約を受付中
予約枠カレンダーはこちら
カウンセリングお申込みはこちら
６月より鎌倉市由比ヶ浜に「
鎌倉カウンセリングサロン
」をオープンしています。
江ノ電・由比ヶ浜駅から徒歩1分の便利な立地で、閑静な住宅街の一角にあります。
「由比ヶ浜駅」は、鎌倉の穏やかな風と自然に包まれた場所に位置します。
すぐ近くには由比ヶ浜の浜辺がありますので、カウンセリングの前後に
海風を感じながらリラックスしてお散歩してみてはいかがでしょう
鎌倉サロンは毎週金曜日となります！
小林由起子（スピリチュアルハーモニー）公式サイト
霊視カウンセリングの小林由起子｜スピリチュアルカウンセリングや霊視相談
鑑定歴２５年の信頼と２万人の実績！霊視鑑定を得意とする小林由起子が霊能力によるスピリチュアルカウンセリングを行います。落着いたサロンでの鑑定とオンライン鑑定とお選びいただけます。各種講座も定期的に開催
harmony-mc.com",https://ameblo.jp/kobayashi-yukiko/entry-12910296515.html
,自己否定の呪縛から解放してあげましょう,"前回、「諦め」には２つの相反する意味があると記事を書きました。
今回はその続きです
ふとした瞬間に、こんな気持ちになることはありませんか？
「どうせ私なんて…」「また失敗しちゃった」「周りの人はうまくいっているのに私だけダメ」
——そんな自己否定の声が頭の中をぐるぐると駆け巡り、心がぎゅっと締めつけられるような苦しさを感じること。。
実は、その奥には「諦め」という同じ言葉が、まったく違う方向性で働いている場合があります。
ひとつは、心を軽くしてくれるポジティブな諦め（受容）。
もうひとつは、行き場を失わせてしまうネガティブな諦め（拒否）。
この二つの違いを知り、ポジティブな諦めの力を借りてあげることで、自己否定の呪縛から少しずつ解放されていけるのです。
それぞれの意味の違いは、前回の記事を参考にしてくださいね
『「諦める」ときに大切な自分の内面』
「諦める」という言葉。 一般的にはネガティブなものとして捉えられる言葉かと思います。 でも実は、「諦める」には二つの相反する意味があるんです。一つはポジティブ…
ameblo.jp
ポジティブな諦めとは、無理やり過去を振り切るということではないのです。
まずは「今の私」に優しく寄り添い、「受容」してあげることが大切なんです。
思いを書き出してみる
心の中でくすぶっている後悔や不安を、紙や日記に文字にしてみましょう。言葉にすることで、感情を客観的に見つめることができます。
受容のひと言をかける
書き出した一つひとつの思いに対して、心の中で「それも私の一部。よく頑張ってきたね」とそっと声をかけてあげてください。自分を抱きしめるようなイメージで。
「今ここ」に意識を向ける
「過去は変えられないけれど、今こうして生きている私がいる」と目を閉じて深呼吸。現在の自分の存在をしっかり感じることで、自然と視界がクリアになっていきます。
これらを繰り返すことで、自己否定の根っこにある恐れや不安が少しずつ和らぎ、心のスペースが広がっていくでしょう。
たとえ自信がなくても、傷つきやすくても、そのままのあなたがここにいること自体が尊いギフトです
仕事でミスをしてしまっても
人間関係で傷ついたとしても
理想と現実のギャップに悩んだとしても
「今の私」は一瞬一瞬を生き抜いている、大切な存在。
まずは、自分の肩に掛かっている荷物を少しずつ下ろしてあげませんか？
ポジティブな諦めは、自分へのやさしさから始まります。
過去の自分を否定するのではなく、「そのままの私でいいんだよ」と自分自身に手を差し伸べてみましょう。
その小さな優しさが、自己否定のループを断ち切り、新しい可能性への扉をゆっくり開いてくれるはずです。
今この瞬間、あなたはもう十分にがんばっています。
どうか、あなた自身を解放してあげてくださいね。
心からのエールを込めて
８月分のカウンセリングご予約を受付中
予約枠カレンダーはこちら
カウンセリングお申込みはこちら
６月より鎌倉市由比ヶ浜に「
鎌倉カウンセリングサロン
」をオープンしています。
江ノ電・由比ヶ浜駅から徒歩1分の便利な立地で、閑静な住宅街の一角にあります。
「由比ヶ浜駅」は、鎌倉の穏やかな風と自然に包まれた場所に位置します。
すぐ近くには由比ヶ浜の浜辺がありますので、カウンセリングの前後に
海風を感じながらリラックスしてお散歩してみてはいかがでしょう
鎌倉サロンは毎週金曜日となります！
小林由起子（スピリチュアルハーモニー）公式サイト
霊視カウンセリングの小林由起子｜スピリチュアルカウンセリングや霊視相談
鑑定歴２５年の信頼と２万人の実績！霊視鑑定を得意とする小林由起子が霊能力によるスピリチュアルカウンセリングを行います。落着いたサロンでの鑑定とオンライン鑑定とお選びいただけます。各種講座も定期的に開催
harmony-mc.com",https://ameblo.jp/kobayashi-yukiko/entry-12908871587.html
,「諦める」ときに大切な自分の内面,"「諦める」という言葉。
一般的にはネガティブなものとして捉えられる言葉かと思います。
でも実は、「諦める」には二つの相反する意味があるんです。
一つはポジティブな「受容」としての諦め、
もう一つはネガティブな「拒否」としての諦めです。
この違いを知ることで、人生の選択肢や心の在り方が大きく変わってきます
ポジティブな諦め
まず、ポジティブな諦めとは、執着や固執を手放し、悲しみや苦しみに囚われた自分を受け入れることを指します。
「これは私に起こるべき出来事なのだから、無理に抵抗するのではなく、受け入れて乗り越えていこう」
というメッセージが込められています。
たとえば、大切な人との別れや、失敗を経験したとき、
「もうどうしようもない」と悲しみに抗うのではなく、
「この経験も私の学びの一部だ」と受容することで、重荷を下ろせるのです。
そうすることで心が自由になり、新たな選択肢や気付きを得られるようになります。
ネガティブな諦め
一方、ネガティブな諦め、
つまり拒否は、
生きることそのものを放棄してしまう態度です。
「どうせ自分には価値がない」「何をやっても無駄だ」と諦め、
他者との関わりを避け、
希望や行動力まで手放してしまいます。
こうした拒否の諦めは、心をどんどん孤立させ、負のスパイラルに陥りがちです。
悲しみや苦しみが増すばかりで、前向きな未来を見出せなくなります。
スピリチュアルカウンセラーとして、多くのクライアントさんがこの「諦め」の違いに気付かずに苦しんでいる姿を見てきました。
同じ「諦め」でも、
受容としての諦めは魂を成長させるきっかけになり、拒否としての諦めは心に傷を深く刻み込むのです。
もし今、あなたが何かに行き詰まり、心が重く感じているなら、この違いを思い出してみてください。
「もうこんな思いは嫌だ」と頑なになるのではなく、「この状況も私に必要な学びなのかもしれない」と少しだけ心を開いてみましょう。
重荷を下ろすその瞬間、あなたの内側には新しい希望や可能性が芽生えてくるはずです。
あなたはどちらの「諦め」を選びますか？
諦めることを選ぶ際に大切なのは、自分自身の内面に正直になることです。
まずは深呼吸し、自分の感情をじっくり観察してみましょう。
何に囚われているのかを見極めたら、それが受容なのか拒否なのかを自分に問いかけてみてください。
もしそれが受容の諦めなら、自分を責めずにそっと抱きしめてあげましょう
一方、もし拒否の諦めに気付いたら、、
小さな一歩でいいので、誰かに相談したり、新しい行動を始めてみてください。
その行動こそが、あなたの人生を明るく照らす灯火となるはずです
８月分のカウンセリングご予約を受付中
予約枠カレンダーはこちら
カウンセリングお申込みはこちら
６月より鎌倉市由比ヶ浜に「
鎌倉カウンセリングサロン
」をオープンしています。
江ノ電・由比ヶ浜駅から徒歩1分の便利な立地で、閑静な住宅街の一角にあります。
「由比ヶ浜駅」は、鎌倉の穏やかな風と自然に包まれた場所に位置します。
すぐ近くには由比ヶ浜の浜辺がありますので、カウンセリングの前後に
海風を感じながらリラックスしてお散歩してみてはいかがでしょう
鎌倉サロンは毎週金曜日となります！
小林由起子（スピリチュアルハーモニー）公式サイト
霊視カウンセリングの小林由起子｜スピリチュアルカウンセリングや霊視相談
鑑定歴２５年の信頼と２万人の実績！霊視鑑定を得意とする小林由起子が霊能力によるスピリチュアルカウンセリングを行います。落着いたサロンでの鑑定とオンライン鑑定とお選びいただけます。各種講座も定期的に開催
harmony-mc.com",https://ameblo.jp/kobayashi-yukiko/entry-12908190150.html
,本日よりカウンセリング８月枠のご予約開始しました,"本日より、カウンセリング８月枠の受付を開始いたしました。
本日６月1日より８月分のカウンセリングご予約を受付開始しました
予約枠カレンダーはこちら
カウンセリングお申込みはこちら
６月より鎌倉市由比ヶ浜に「
鎌倉カウンセリングサロン
」をオープンしています。
江ノ電・由比ヶ浜駅から徒歩1分の便利な立地で、閑静な住宅街の一角にあります。
「由比ヶ浜駅」は、鎌倉の穏やかな風と自然に包まれた場所に位置します。
すぐ近くには由比ヶ浜の浜辺がありますので、カウンセリングの前後に
海風を感じながらリラックスしてお散歩してみてはいかがでしょう
鎌倉サロンは毎週金曜日となります！
小林由起子（スピリチュアルハーモニー）公式サイト
霊視カウンセリングの小林由起子｜スピリチュアルカウンセリングや霊視相談
鑑定歴２５年の信頼と２万人の実績！霊視鑑定を得意とする小林由起子が霊能力によるスピリチュアルカウンセリングを行います。落着いたサロンでの鑑定とオンライン鑑定とお選びいただけます。各種講座も定期的に開催
harmony-mc.com",https://ameblo.jp/kobayashi-yukiko/entry-12907664043.html
,雲を見上げて広がる世界 〜イマジネーションと直観力を育てる〜,"空を見上げると、雲がゆっくりと形を変えていくのが見えます。
ただの雲のようでいて、よく目を凝らすと、動物のように見えたり、誰かの横顔のように見えたり……。
子どものころは、よくそんな想像をする時間をもっていたのではないでしょうか。
大人になり忙しくなると、空を見上げてゆっくりする時間は、意識しないとなかなか持てないものです。
子どもの頃の遊びのようでいて、
雲の形から何かを感じ取ることは、
私たちの中にあるイマジネーション（想像力）を自然と引き出してくれます。
雲を見上げる以外でも、
木々の緑、草花の香り、木漏れ日のやさしい光。
こうした自然の中にいると、私たちの
五感
は静かに、でも確かに目覚めていきます。
自然を「美しい」と感じたり、空の雲をじっと眺めて想像したりすることで、
心の中に眠っていた
感性や直感
が呼び覚まされていくのです。
想像力というと、クリエイティブな人だけのものと思われがちですが、実は誰もがもっている「心の翼」のようなもの。
雲を見て想像を広げたり、
自然の音に耳を傾けたりしていると、
だんだんと気持ちが穏やかになり、
内側にある静けさに気付けるようになります。
これはまさに、直観力が働き始めているサインです
「直観力」とは「心の声を聞く力」です。
迷ったとき、頭で考えすぎずにスッと答えが降りてくるような経験、ありませんか？
それが直観です。
自然に触れ、イマジネーションを働かせる時間を大切にすることで、
日常の中でも
自分にとって大切なことや、正しい方向
が、
以前よりもはっきりと見えてくるようになります
慌ただしい毎日の中でも、
ふと立ち止まって空を見上げてみてください。
雲は、常に流れ、形を変えています。
その中に、あなたは何を感じ、何を想像するでしょうか？
そんな時間が、あなたの中にある直観の力や、
本来の感性をゆっくりと呼び覚ましてくれますよ
７月分のカウンセリングご予約を受付中
予約枠カレンダーはこちら
カウンセリングお申込みはこちら
小林由起子（スピリチュアルハーモニー）公式サイト
霊視カウンセリングの小林由起子｜スピリチュアルカウンセリングや霊視相談
鑑定歴２５年の信頼と２万人の実績！霊視鑑定を得意とする小林由起子が霊能力によるスピリチュアルカウンセリングを行います。落着いたサロンでの鑑定とオンライン鑑定とお選びいただけます。各種講座も定期的に開催
harmony-mc.com",https://ameblo.jp/kobayashi-yukiko/entry-12906952787.html
